分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 17, IPv6: 0, 最小延迟: 65 ms, 最高速率: 14.24 M/s, 平均速率: 12.22 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 76 ms, 最高速率: 13.50 M/s, 平均速率: 10.70 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 94 ms, 最高速率: 11.73 M/s, 平均速率: 10.86 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 78 ms, 最高速率: 18.32 M/s, 平均速率: 11.55 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 68 ms, 最高速率: 14.84 M/s, 平均速率: 13.46 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 66 ms, 最高速率: 13.47 M/s, 平均速率: 12.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 79 ms, 最高速率: 14.48 M/s, 平均速率: 10.89 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 16, IPv6: 0, 最小延迟: 68 ms, 最高速率: 14.95 M/s, 平均速率: 13.33 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 14, IPv6: 0, 最小延迟: 66 ms, 最高速率: 14.99 M/s, 平均速率: 13.30 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 70 ms, 最高速率: 14.05 M/s, 平均速率: 13.07 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 71 ms, 最高速率: 14.53 M/s, 平均速率: 12.98 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 61 ms, 最高速率: 16.10 M/s, 平均速率: 12.01 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 12, IPv6: 0, 最小延迟: 229 ms, 最高速率: 17.39 M/s, 平均速率: 9.13 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 68 ms, 最高速率: 14.27 M/s, 平均速率: 12.01 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 82 ms, 最高速率: 13.86 M/s, 平均速率: 11.63 M/s, 最高分辨率: 1920x1080
